title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
The Amazing Spider-Man 2,2014,0.0,23,"['Action', 'Adventure', 'Fantasy']",Spider-Man squares off against the Rhino and the powerful Electro while struggling to keep his promise to leave Gwen Stacey out of his dangerous life.,['Marc Webb'],"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",2014-04-17,0,http://ia.media-imdb.com/images/M/MV5BMjE0MDAwNTUzNF5BMl5BanBnXkFtZTcwNDQ4NDYxOQ@@._V1_SX400_.jpg
The American,2010,6.4,2104,"['Crime', 'Drama', 'Thriller']",An assassin hides out in Italy for one last assignment.,['Anton Corbijn'],"['George Clooney', 'Paolo Bonacelli', 'Violante Placido']",2010-09-01,6300,http://ia.media-imdb.com/images/M/MV5BMjAxMDg1NDcxM15BMl5BanBnXkFtZTcwODc3MDg1Mw@@._V1_SX400_.jpg
The American Can,2014,0.0,3272,['Drama'],"Based on actual events, John, a New Orleans native and combat Marine, risks his life in the aftermath of Hurricane Katrina for the safety and rescue of 244 people trapped in his apartment building.",['Edward Zwick'],['Will Smith'],2014-01-01,0,
The American President,1995,6.7,3904,"['Comedy', 'Drama', 'Romance']","Comedy-drama about a widowed US president and a lobbyist who fall in love. It's all aboveboard, but ""politics is perception"" and sparks fly anyway.",['Rob Reiner'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']",1995-11-08,6840,http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX400_.jpg
The Amityville Asylum,2013,2.6,4530,['Horror'],"Lisa Templeton begins a new job as a cleaner at High Hopes Hospital, a mental institution in Amityville, Long Island. Initially delighted to get the job, Lisa soon realises that all is not as it seems.",['Andrew Jones'],"['Sarah Louise Madison', 'Eileen Daly', 'Kenton Hall']",2013-06-03,5280,http://ia.media-imdb.com/images/M/MV5BNDE2MzM0Mzc3Ml5BMl5BanBnXkFtZTcwNjY0MzIwOQ@@._V1_SX400_.jpg
The Amityville Horror,2005,5.8,1041,"['Drama', 'Horror', 'Mystery', 'Thriller']",A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.,['Andrew Douglas'],"['Ryan Reynolds', 'Melissa George', 'Jimmy Bennett']",2005-04-07,5400,http://ia.media-imdb.com/images/M/MV5BOTAxMzAzOTczNF5BMl5BanBnXkFtZTcwNzUwNzgyMQ@@._V1_SX400_.jpg
The Amityville Horror,1979,6.0,3406,['Horror'],"Newlyweds move into a house where a murder was committed, and experience strange manifestations which drive them away.",['Stuart Rosenberg'],"['James Brolin', 'Margot Kidder', 'Rod Steiger']",1979-07-27,7020,http://ia.media-imdb.com/images/M/MV5BMTc0NDMyNTU3M15BMl5BanBnXkFtZTcwMjM0MTgwNA@@._V1_SX400_.jpg
The Angels' Share,2012,7.0,3142,"['Comedy', 'Crime', 'Drama']","Narrowly avoiding jail, new dad Robbie vows to turn over a new leaf. A visit to a whisky distillery inspires him and his mates to seek a way out of their hopeless lives.",['Ken Loach'],"['Paul Brannigan', 'John Henshaw', 'Roger Allam']",2012-05-22,6060,http://ia.media-imdb.com/images/M/MV5BNzQ0MTg1MzI0Ml5BMl5BanBnXkFtZTcwNDA0MTcyOQ@@._V1_SX400_.jpg
The Angriest Man in Brooklyn,2013,0.0,4792,"['Comedy', 'Drama']",A guy tries to determine what he will do in the final moments of his life.,['Phil Alden Robinson'],"['Mila Kunis', 'Robin Williams', 'Peter Dinklage']",2013-01-01,0,
The Animal,2001,4.6,4252,"['Comedy', 'Sci-Fi']","After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",['Luke Greenfield'],"['Rob Schneider', 'Colleen Haskell', 'John C. McGinley']",2001-03-21,5040,http://ia.media-imdb.com/images/M/MV5BMjE1OTExNTEzMV5BMl5BanBnXkFtZTYwNDQ3MDk2._V1_SX400_.jpg
The Ant Bully,2006,5.9,4784,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",['John A. Davis'],"['Paul Giamatti', 'Nicolas Cage', 'Julia Roberts']",2006-07-28,5280,http://ia.media-imdb.com/images/M/MV5BMjE2OTYwMzQzNl5BMl5BanBnXkFtZTcwNDM1MjMzMQ@@._V1_SX400_.jpg
The Apartment,1960,8.4,2646,"['Comedy', 'Drama', 'Romance']","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",1960-06-15,7500,http://ia.media-imdb.com/images/M/MV5BMTM1OTc4MzgzNl5BMl5BanBnXkFtZTcwNTE2NjgyMw@@._V1_SX400_.jpg
The Apparition,2012,4.0,1621,"['Horror', 'Thriller']",A couple is haunted by a supernatural presence that is unleashed during a college experiment.,['Todd Lincoln'],"['Ashley Greene', 'Sebastian Stan', 'Tom Felton']",2012-08-23,4980,http://ia.media-imdb.com/images/M/MV5BMTU5Mjk0Njk1OV5BMl5BanBnXkFtZTcwMTg4MzU4Nw@@._V1_SX400_.jpg
The AristoCats,1970,7.0,2142,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music']","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",['Wolfgang Reitherman'],"['Phil Harris', 'Eva Gabor', 'Sterling Holloway']",1970-12-11,4680,http://ia.media-imdb.com/images/M/MV5BMTY4Njk4NDYxNl5BMl5BanBnXkFtZTcwOTczMzc1MQ@@._V1_SX400_.jpg
The Arrival,1996,6.2,4732,"['Sci-Fi', 'Thriller', 'Mystery', 'Action']","Zane, an astronomer discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.",['David Twohy'],"['Charlie Sheen', 'Lindsay Crouse', 'Richard Schiff']",1996-05-31,6900,http://ia.media-imdb.com/images/M/MV5BMTYzMDI4NzQ1Ml5BMl5BanBnXkFtZTcwNDg0MzgyMQ@@._V1_SX400_.jpg
The Art of Getting By,2011,6.4,1626,"['Drama', 'Romance']","George, a lonely and fatalistic teen who's made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.",['Gavin Wiesen'],"['Freddie Highmore', 'Emma Roberts', 'Michael Angarano']",2011-01-23,4980,http://ia.media-imdb.com/images/M/MV5BNDg3NzE5MjU3MV5BMl5BanBnXkFtZTcwNjY1NTgxNQ@@._V1_SX400_.jpg
The Art of the Steal,2013,7.8,1369,['Comedy'],A third-rate motorcycle daredevil and part-time art thief teams up with his snaky brother to steal one of the most valuable books in the world.,['Jonathan Sobol'],"['Jay Baruchel', 'Kurt Russell', 'Katheryn Winnick']",2013-09-11,5400,http://ia.media-imdb.com/images/M/MV5BMTU3Nzk4MTUyMl5BMl5BanBnXkFtZTgwNzk5NjgxMDE@._V1_SX400_.jpg
The Artist,2011,8.0,897,"['Comedy', 'Drama', 'Romance']","A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions.",['Michel Hazanavicius'],"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman']",2011-05-15,6000,http://ia.media-imdb.com/images/M/MV5BMzk0NzQxMTM0OV5BMl5BanBnXkFtZTcwMzU4MDYyNQ@@._V1_SX400_.jpg
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,1681,"['Biography', 'Crime', 'Drama', 'History', 'Western']","Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.",['Andrew Dominik'],"['Brad Pitt', 'Casey Affleck', 'Sam Shepard']",2007-09-02,9600,http://ia.media-imdb.com/images/M/MV5BMTY2NDI2MTc2NV5BMl5BanBnXkFtZTcwNjA2NTQzMw@@._V1_SX400_.jpg
The Astronaut's Wife,1999,5.1,4377,"['Drama', 'Sci-Fi', 'Thriller']",,['Rand Ravich'],"['Charlize Theron', 'Johnny Depp', 'Joe Morton']",1999-08-27,6540,http://ia.media-imdb.com/images/M/MV5BMTcxMzM3NTcyNV5BMl5BanBnXkFtZTYwODAwOTc5._V1_SX400_.jpg
The Attack,2012,7.0,4976,['Drama'],An Arab surgeon living in Tel Aviv discovers a dark secret about his wife in the aftermath of a suicide bombing.,['Ziad Doueiri'],"['Ali Suliman', 'Evgenia Dodena', 'Reymond Amsalem']",2012-09-01,6120,http://ia.media-imdb.com/images/M/MV5BMTYxODIyMTQzMF5BMl5BanBnXkFtZTcwNTk4OTU0OQ@@._V1_SX400_.jpg
The Avengers,2012,8.2,48,"['Action', 'Fantasy']",Nick Fury of S.H.I.E.L.D. assembles a team of superhumans to save the planet from Loki and his army.,['Joss Whedon'],"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson']",2012-04-11,8580,http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX400_.jpg
The Avengers,1998,3.5,3276,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Two British agents (John Steed and Emma Peel) team up to stop Sir August De Wynter from destroying the world with a weather changing machine.,['Jeremiah S. Chechik'],"['Ralph Fiennes', 'Uma Thurman', 'Sean Connery']",1998-08-13,5340,http://ia.media-imdb.com/images/M/MV5BMjA3NzcxODYzNV5BMl5BanBnXkFtZTcwOTcwOTcxMQ@@._V1_SX400_.jpg
The Avengers: Age of Ultron,2015,0.0,40,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,['Joss Whedon'],"['Scarlett Johansson', 'Chris Hemsworth', 'James Spader']",2015-04-29,0,http://ia.media-imdb.com/images/M/MV5BNjA3MTY1NzQxM15BMl5BanBnXkFtZTgwMjMwMDUzMDE@._V1_SX400_.jpg
The Aviator,2004,7.5,987,"['Biography', 'Drama']","A biopic depicting the early years of legendary director and aviator Howard Hughes' career, from the late 1920s to the mid-1940s.",['Martin Scorsese'],"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale']",2004-12-14,10200,http://ia.media-imdb.com/images/M/MV5BMTUxMjQ5NzgyOF5BMl5BanBnXkFtZTcwNDg0ODYyMQ@@._V1_SX400_.jpg
The Awakening,2011,6.4,169,"['Horror', 'Thriller']","In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show themselves.",['Nick Murphy'],"['Rebecca Hall', 'Dominic West', 'Imelda Staunton']",2011-09-16,6420,http://ia.media-imdb.com/images/M/MV5BMzk0ODc1NDMxOV5BMl5BanBnXkFtZTcwNTAzMzgwOA@@._V1_SX400_.jpg
The Baby-Sitters Club,1995,5.2,3703,"['Comedy', 'Drama', 'Family']","It's the story about seven very different best friends, and one summer that will bring them together like never before.",['Melanie Mayron'],"['Schuyler Fisk', 'Bre Blair', 'Rachael Leigh Cook']",1995-08-18,5640,http://ia.media-imdb.com/images/M/MV5BMTYwMjU1MzQ5MF5BMl5BanBnXkFtZTcwMDAwNDAwMQ@@._V1_SX400_.jpg
The Babymakers,2012,4.7,2910,['Comedy'],"After failing to get his wife pregnant, a guy (Schneider) recruits his pals to steal the deposit he left at a sperm bank years ago.",['Jay Chandrasekhar'],"['Paul Schneider', 'Olivia Munn', 'Kevin Heffernan']",2012-03-09,5700,http://ia.media-imdb.com/images/M/MV5BOTU1Njg1MDQyOV5BMl5BanBnXkFtZTcwODE1NTE4Nw@@._V1_SX400_.jpg
The Babysitters,2007,5.7,1426,['Drama'],A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,['David Ross'],"['Lauren Birkell', 'Paul Borghese', 'Chira Cassel']",2007-09-11,5280,http://ia.media-imdb.com/images/M/MV5BMTcwMDUwNzYyOF5BMl5BanBnXkFtZTcwNTg4NDA3MQ@@._V1_SX400_.jpg
The Back-up Plan,2010,4.9,1723,"['Comedy', 'Romance']","A romantic comedy centered on a woman who conceives twins through artificial insemination, only to meet the man of her dreams on the very same day.",['Alan Poul'],"['Jennifer Lopez', ""Alex O'Loughlin"", 'Michaela Watkins']",2010-04-23,6360,http://ia.media-imdb.com/images/M/MV5BNjAzODM4NTc1OF5BMl5BanBnXkFtZTcwNDU2ODUzMw@@._V1_SX400_.jpg
The Bad Lieutenant: Port of Call - New Orleans,2009,6.7,2726,"['Crime', 'Drama']",Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,['Werner Herzog'],"['Nicolas Cage', 'Eva Mendes', 'Russell M. Haeuser']",2009-09-04,7320,http://ia.media-imdb.com/images/M/MV5BMTcyMzY0NTMzMF5BMl5BanBnXkFtZTcwMTc1MjY4Mg@@._V1_SX400_.jpg
The Bad News Bears,1976,7.1,3583,"['Comedy', 'Family', 'Sport']","An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",['Michael Ritchie'],"['Walter Matthau', ""Tatum O'Neal"", 'Vic Morrow']",1976-04-06,6120,http://ia.media-imdb.com/images/M/MV5BMTI3NDc1NDI4OV5BMl5BanBnXkFtZTcwMjMyNDEyMQ@@._V1_SX400_.jpg
The Ballad of Jack and Rose,2005,6.6,3738,['Drama'],A father and daughter isolated on an island off the East Coast and living on a once thriving commune grapple with the limits of family and sexuality.,['Rebecca Miller'],"['Daniel Day-Lewis', 'Catherine Keener', 'Camilla Belle']",2005-01-23,6720,http://ia.media-imdb.com/images/M/MV5BMTczNzY1NTQ5MV5BMl5BanBnXkFtZTcwOTkxODgyMQ@@._V1_SX400_.jpg
The Bang Bang Club,2010,6.7,3507,['Drama'],A drama based on the true-life experiences of four combat photographers capturing the final days of apartheid in South Africa.,['Steven Silver'],"['Ryan Phillippe', 'Malin Akerman', 'Taylor Kitsch']",2010-09-15,6360,http://ia.media-imdb.com/images/M/MV5BMjIxNDIyMDU2Ml5BMl5BanBnXkFtZTcwODUxMTA4NA@@._V1_SX400_.jpg
The Bank Job,2008,7.2,820,"['Crime', 'Drama', 'Thriller']",Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry. But Terry and his crew don't realize the boxes also contain a treasure trove of dirty secrets - secrets that will thrust them into a deadly web of corruption and illicit scandal.,['Roger Donaldson'],"['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore']",2008-02-19,6660,http://ia.media-imdb.com/images/M/MV5BMTUwMzc1MDMxOV5BMl5BanBnXkFtZTcwODY4OTIzMw@@._V1_SX400_.jpg
The Basketball Diaries,1995,7.1,1350,"['Biography', 'Crime', 'Drama', 'Sport']",,['Scott Kalvert'],"['Leonardo DiCaprio', 'Lorraine Bracco', 'Marilyn Sokol']",1995-04-21,6120,http://ia.media-imdb.com/images/M/MV5BNDY3MDMyNzE1N15BMl5BanBnXkFtZTcwOTg1MTcyNA@@._V1_SX400_.jpg
The Bates Haunting,2012,3.1,4977,['Thriller'],,['Byron Turk'],"[""Jean Louise O'Sullivan"", 'Zachary Fletcher', 'Ryan Dunn']",NaT,4560,http://ia.media-imdb.com/images/M/MV5BMjA0Mjg5OTIyMF5BMl5BanBnXkFtZTcwNTc5OTk4OQ@@._V1_SX400_.jpg
The Bay,2012,5.5,1432,"['Horror', 'Sci-Fi', 'Thriller']",Chaos breaks out in a small Maryland town after an ecological disaster occurs.,['Barry Levinson'],"['Will Rogers', 'Kristen Connolly', 'Kether Donohue']",2012-09-13,5040,http://ia.media-imdb.com/images/M/MV5BMjAxODQ1MTEyMl5BMl5BanBnXkFtZTcwNjU3NzM0OA@@._V1_SX400_.jpg
The Baytown Outlaws,2012,6.1,2186,"['Action', 'Comedy', 'Crime']","When three redneck brothers agree to help a woman save her godson from an abusive stepfather, they become targets on the run from an odd cast of characters.",['Barry Battles'],"['Billy Bob Thornton', 'Eva Longoria', 'Thomas Brodie-Sangster']",2012-08-29,5880,http://ia.media-imdb.com/images/M/MV5BMTM5NzE0ODIwMV5BMl5BanBnXkFtZTcwMzY5Mjg3OA@@._V1_SX400_.jpg
The Beach,2000,6.4,848,"['Adventure', 'Drama', 'Romance', 'Thriller']","Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",['Danny Boyle'],"['Leonardo DiCaprio', 'Daniel York', 'Patcharawan Patarakijjanon']",2000-02-02,7140,http://ia.media-imdb.com/images/M/MV5BMTIzNzYzMjIyMF5BMl5BanBnXkFtZTcwNDg1MzMzMQ@@._V1_SX400_.jpg
The Beastmaster,1982,5.9,3907,"['Fantasy', 'Action', 'Adventure']","A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",['Don Coscarelli'],"['Marc Singer', 'Tanya Roberts', 'Rip Torn']",1982-08-16,7080,http://ia.media-imdb.com/images/M/MV5BMzYzNzE3NTgxOV5BMl5BanBnXkFtZTYwNDY1MDY5._V1_SX400_.jpg
The Beaver,2011,6.6,1949,['Drama'],A troubled husband and executive adopts a beaver hand-puppet as his sole means of communicating.,['Jodie Foster'],"['Mel Gibson', 'Jodie Foster', 'Anton Yelchin']",2011-03-16,5460,http://ia.media-imdb.com/images/M/MV5BMzc0Nzc0MjA4OF5BMl5BanBnXkFtZTcwNTEyOTYxNA@@._V1_SX400_.jpg
The Believer,2001,7.2,4400,['Drama'],A young Jewish man develops a fiercely anti-Semitic worldview. Based on the true story of a KKK member in the 1960s who was revealed to be Jewish by a New York Times reporter.,['Henry Bean'],"['Ryan Gosling', 'Summer Phoenix', 'Peter Meadows']",2001-01-19,6120,http://ia.media-imdb.com/images/M/MV5BMTQ0MDU2ODIxMF5BMl5BanBnXkFtZTcwNDgwMDAwMQ@@._V1_SX400_.jpg
The Bell Witch Haunting,2013,0.0,4670,['Horror'],,['Glenn Miller'],"['M. Steven Felty', 'Julia Cearley', 'Cat Alter']",2013-11-05,0,http://ia.media-imdb.com/images/M/MV5BNDc1NTIyMTAxMF5BMl5BanBnXkFtZTcwMDIzODk3OQ@@._V1_SX400_.jpg
The Benchwarmers,2006,5.3,2159,"['Comedy', 'Sport']",A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children baseball squads.,['Dennis Dugan'],"['David Spade', 'Jon Heder', 'Rob Schneider']",2006-04-07,4800,http://ia.media-imdb.com/images/M/MV5BMTcxMzg3NDQwNl5BMl5BanBnXkFtZTcwMjk1ODQzMQ@@._V1_SX400_.jpg
The Best Exotic Marigold Hotel,2011,7.2,1310,"['Comedy', 'Drama']","British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than its advertisements, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways.",['John Madden'],"['Judi Dench', 'Bill Nighy', 'Maggie Smith']",2011-11-30,7440,http://ia.media-imdb.com/images/M/MV5BMjIwNjkwMDI2NV5BMl5BanBnXkFtZTcwNDc1ODIyNw@@._V1_SX400_.jpg
The Best Man,1999,6.0,2763,"['Comedy', 'Drama']",,['Malcolm D. Lee'],"['Taye Diggs', 'Nia Long', 'Morris Chestnut']",1999-09-02,7200,http://ia.media-imdb.com/images/M/MV5BMTU3MjI5NzA1OV5BMl5BanBnXkFtZTcwMzM4MzAyMQ@@._V1_SX400_.jpg
The Best Man Holiday,2013,0.0,1285,['Comedy'],"When college friends reunite after 15 years over the Christmas holidays, they will discover just how easy it is for long-forgotten rivalries and romances to be ignited.",['Malcolm D. Lee'],"['Terrence Howard', 'Taye Diggs', 'Morris Chestnut']",2013-11-15,0,http://ia.media-imdb.com/images/M/MV5BMjU0MTI1MDg5Ml5BMl5BanBnXkFtZTgwNzc2MTMzMDE@._V1_SX400_.jpg
The Big Chill,1983,7.0,2786,"['Comedy', 'Drama']",A group of seven former college friends gather for a weekend reunion at a posh South Carolina winter house after the funeral of one of their friends.,['Lawrence Kasdan'],"['Tom Berenger', 'Glenn Close', 'Jeff Goldblum']",1983-09-09,6300,http://ia.media-imdb.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX400_.jpg
The Big Green,1995,5.1,4525,"['Comedy', 'Family', 'Sport']",,['Holly Goldberg Sloan'],"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",1995-09-29,6000,http://ia.media-imdb.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1_SX400_.jpg
The Big Lebowski,1998,8.2,256,"['Comedy', 'Crime']","""Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","['Joel Coen', 'Ethan Coen']","['Jeff Bridges', 'John Goodman', 'Julianne Moore']",1998-02-15,7020,http://ia.media-imdb.com/images/M/MV5BMTcwOTAwMzEyMl5BMl5BanBnXkFtZTcwODkzNjk3OA@@._V1_SX400_.jpg
The Big Parade,1925,7.9,3734,"['Drama', 'Romance', 'War']",,"['King Vidor', 'George W. Hill']","['John Gilbert', 'Renée Adorée', 'Hobart Bosworth']",1925-11-05,8400,http://ia.media-imdb.com/images/M/MV5BMTY5ODk3MTgzNV5BMl5BanBnXkFtZTcwMTc4NzkxMQ@@._V1_SX400_.jpg
The Big Sleep,1946,8.1,4261,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",['Howard Hawks'],"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely']",1946-08-23,6840,http://ia.media-imdb.com/images/M/MV5BMjE5NzA1MzI5OV5BMl5BanBnXkFtZTYwOTE1MTY5._V1_SX400_.jpg
The Big Wedding,2013,5.3,273,['Comedy'],A long-divorced couple fakes being married as their family unites for a wedding.,['Justin Zackham'],"['Robert De Niro', 'Diane Keaton', 'Katherine Heigl']",2013-04-25,5340,http://ia.media-imdb.com/images/M/MV5BMTcwODUwMjg2Ml5BMl5BanBnXkFtZTcwMTc2NzkxOA@@._V1_SX400_.jpg
The Big Year,2011,6.1,1918,['Comedy'],"Two bird enthusiasts try to defeat the cocky, cutthroat world record holder in a year-long bird-spotting competition.",['David Frankel'],"['Owen Wilson', 'Jack Black', 'Steve Martin']",2011-10-14,6000,http://ia.media-imdb.com/images/M/MV5BMTc0MzcwMDcyOV5BMl5BanBnXkFtZTcwNTUwMjk1Ng@@._V1_SX400_.jpg
The Birdcage,1996,6.7,1402,['Comedy'],A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,['Mike Nichols'],"['Robin Williams', 'Nathan Lane', 'Gene Hackman']",1996-03-08,7020,http://ia.media-imdb.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX400_.jpg
The Birds,1963,7.8,1077,"['Horror', 'Thriller']",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people there in increasing numbers and with increasing viciousness.,['Alfred Hitchcock'],"['Rod Taylor', 'Tippi Hedren', 'Suzanne Pleshette']",1963-03-28,7140,http://ia.media-imdb.com/images/M/MV5BMTk3NTIzNTQxMl5BMl5BanBnXkFtZTYwNDAwNzM2._V1_SX400_.jpg
The Black Cauldron,1985,6.3,4303,"['Animation', 'Adventure', 'Family', 'Fantasy']",A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,"['Ted Berman', 'Richard Rich']","['Grant Bardsley', 'Freddie Jones', 'Susan Sheridan']",1985-07-24,4800,http://ia.media-imdb.com/images/M/MV5BNjMwNDU2ODk1M15BMl5BanBnXkFtZTcwMjg4MDYyMQ@@._V1_SX400_.jpg
The Black Dahlia,2006,5.5,1884,"['Crime', 'Drama', 'Mystery', 'Thriller']","Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" murder investigation.",['Brian De Palma'],"['Josh Hartnett', 'Aaron Eckhart', 'Scarlett Johansson']",2006-08-09,7260,http://ia.media-imdb.com/images/M/MV5BMTg0MDc1OTQ5NF5BMl5BanBnXkFtZTcwNzE1ODUzMQ@@._V1_SX400_.jpg
The Black Hole,1979,5.8,3585,"['Action', 'Adventure', 'Family', 'Sci-Fi']","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",['Gary Nelson'],"['Maximilian Schell', 'Anthony Perkins', 'Robert Forster']",1979-12-18,5880,http://ia.media-imdb.com/images/M/MV5BMTcxNjgyMjg2N15BMl5BanBnXkFtZTcwNTE3NTYyMQ@@._V1_SX400_.jpg
The Black Waters of Echo's Pond,2009,4.2,4229,"['Fantasy', 'Horror', 'Thriller']","Nine friends take a holiday at a Victorian home on a private island and uncover a game that when played brings out the worst in each of them. Jealously, greed, hatred, lust, all of the things they keep buried deep inside themselves rise to the surface and come to a boil.",['Gabriel Bologna'],"['Robert Patrick', 'Danielle Harris', 'Sean Lawlor']",2009-10-11,5340,http://ia.media-imdb.com/images/M/MV5BMTc2ODc0MTk0M15BMl5BanBnXkFtZTgwNzY5ODQxMDE@._V1_SX400_.jpg
The Blackout,2013,3.2,1616,['Comedy'],Some people drink to forget. Rock stars drink to remember.,['Matt Hish'],"['Michael Graziadei', 'Scott Rosa', 'Flood Reed']",2013-09-01,5400,http://ia.media-imdb.com/images/M/MV5BMzY3MTc1MjUxMF5BMl5BanBnXkFtZTgwOTg4MDExMDE@._V1_SX400_.jpg
The Blair Witch Project,1999,6.3,1378,"['Horror', 'Mystery']",Three film students go missing after traveling into the woods of Maryland to make a documentary about the local Blair Witch legend leaving only their footage behind.,"['Daniel Myrick', 'Eduardo Sánchez']","['Heather Donahue', 'Michael C. Williams', 'Joshua Leonard']",1999-01-25,4860,http://ia.media-imdb.com/images/M/MV5BMTg0NjMyNTY4OF5BMl5BanBnXkFtZTYwOTMxOTY4._V1_SX400_.jpg
The Blind Side,2009,7.6,431,"['Biography', 'Drama', 'Sport']","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",['John Lee Hancock'],"['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw']",2009-11-17,7740,http://ia.media-imdb.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX400_.jpg
The Bling Ring,2013,5.8,41,"['Crime', 'Drama']","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",['Sofia Coppola'],"['Katie Chang', 'Israel Broussard', 'Emma Watson']",2013-05-16,5400,http://ia.media-imdb.com/images/M/MV5BMTQzMTgwMzQxN15BMl5BanBnXkFtZTcwOTcwNTY0OQ@@._V1_SX400_.jpg
The Blob,1988,6.1,4924,"['Horror', 'Sci-Fi']",A strange lifeform consumes everything in its path as it grows and grows.,['Chuck Russell'],"['Shawnee Smith', 'Donovan Leitch', 'Kevin Dillon']",1988-08-05,5700,http://ia.media-imdb.com/images/M/MV5BMTcwNjI3NjczMV5BMl5BanBnXkFtZTYwNzc1MjQ5._V1_SX400_.jpg
The Blue Lagoon,1980,5.4,1261,"['Adventure', 'Drama', 'Romance']","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",['Randal Kleiser'],"['Brooke Shields', 'Christopher Atkins', 'Leo McKern']",1980-06-20,6240,http://ia.media-imdb.com/images/M/MV5BMTQ3NzQzNzg2MV5BMl5BanBnXkFtZTcwMjEwMjAzMQ@@._V1_SX400_.jpg
